strategy,model,budget,metric,value
learned,attention_780_v3,64,n_conversations,20.0
learned,attention_780_v3,64,elapsed_sec,332.5
learned,attention_780_v3,64,rouge.rouge1,0.671886200645327
learned,attention_780_v3,64,rouge.rouge2,0.47885526909701265
learned,attention_780_v3,64,rouge.rougeL,0.6465347736708048
learned,attention_780_v3,64,bertscore,0.8688565403223037
learned,attention_780_v3,64,detection.agenda_item.precision,0.5366666666666666
learned,attention_780_v3,64,detection.agenda_item.recall,0.5916666666666667
learned,attention_780_v3,64,detection.agenda_item.f1,0.5429761904761905
learned,attention_780_v3,64,detection.detail.precision,0.668617557223034
learned,attention_780_v3,64,detection.detail.recall,0.8574525027402264
learned,attention_780_v3,64,detection.detail.f1,0.7400298303800048
learned,attention_780_v3,64,detection.medication.precision,0.5083333333333333
learned,attention_780_v3,64,detection.medication.recall,0.5083333333333333
learned,attention_780_v3,64,detection.medication.f1,0.4883333333333333
learned,attention_780_v3,64,detection.social_history.precision,0.08333333333333333
learned,attention_780_v3,64,detection.social_history.recall,0.04666666666666667
learned,attention_780_v3,64,detection.social_history.f1,0.05269230769230769
learned,attention_780_v3,64,detection.follow_up.precision,0.1
learned,attention_780_v3,64,detection.follow_up.recall,0.041666666666666664
learned,attention_780_v3,64,detection.follow_up.f1,0.05833333333333333
learned,attention_780_v3,64,detection.question.precision,0.7089313464313465
learned,attention_780_v3,64,detection.question.recall,0.8812008824508825
learned,attention_780_v3,64,detection.question.f1,0.7544527018430216
learned,attention_780_v3,64,detection.question_unanswered.precision,0.0
learned,attention_780_v3,64,detection.question_unanswered.recall,0.0
learned,attention_780_v3,64,detection.question_unanswered.f1,0.0
learned,attention_780_v3,64,detection.irrelevant.precision,0.8073472031801525
learned,attention_780_v3,64,detection.irrelevant.recall,0.6989793826446251
learned,attention_780_v3,64,detection.irrelevant.f1,0.737150842138812
learned,attention_780_v3,64,detection.macro_avg.precision,0.4266536800209833
learned,attention_780_v3,64,detection.macro_avg.recall,0.4532457626461334
learned,attention_780_v3,64,detection.macro_avg.f1,0.42174606739962545
learned,attention_780_v3,64,agenda_completeness,0.37083333333333335
learned,attention_780_v3,64,hardware.avg_latency_ms,323.56831363055386
learned,attention_780_v3,64,hardware.total_relevant,28.75
learned,attention_780_v3,64,hardware.final_buffer_size,3.0
learned,attention_780_v3,64,hardware.final_buffer_tokens,55.1
learned,attention_780_v3,100,n_conversations,20.0
learned,attention_780_v3,100,elapsed_sec,250.9
learned,attention_780_v3,100,rouge.rouge1,0.6682818675601763
learned,attention_780_v3,100,rouge.rouge2,0.4778403170322648
learned,attention_780_v3,100,rouge.rougeL,0.6446233174288784
learned,attention_780_v3,100,bertscore,0.8662575274705887
learned,attention_780_v3,100,detection.agenda_item.precision,0.645
learned,attention_780_v3,100,detection.agenda_item.recall,0.5916666666666667
learned,attention_780_v3,100,detection.agenda_item.f1,0.6059126984126985
learned,attention_780_v3,100,detection.detail.precision,0.6928560662906638
learned,attention_780_v3,100,detection.detail.recall,0.787594989906371
learned,attention_780_v3,100,detection.detail.f1,0.7238770455565687
learned,attention_780_v3,100,detection.medication.precision,0.4833333333333333
learned,attention_780_v3,100,detection.medication.recall,0.4416666666666667
learned,attention_780_v3,100,detection.medication.f1,0.445
learned,attention_780_v3,100,detection.social_history.precision,0.1
learned,attention_780_v3,100,detection.social_history.recall,0.021666666666666667
learned,attention_780_v3,100,detection.social_history.f1,0.034090909090909095
learned,attention_780_v3,100,detection.follow_up.precision,0.05
learned,attention_780_v3,100,detection.follow_up.recall,0.025
learned,attention_780_v3,100,detection.follow_up.f1,0.03333333333333333
learned,attention_780_v3,100,detection.question.precision,0.7428597791097791
learned,attention_780_v3,100,detection.question.recall,0.8366770729270729
learned,attention_780_v3,100,detection.question.f1,0.7633451033267576
learned,attention_780_v3,100,detection.question_unanswered.precision,0.0
learned,attention_780_v3,100,detection.question_unanswered.recall,0.0
learned,attention_780_v3,100,detection.question_unanswered.f1,0.0
learned,attention_780_v3,100,detection.irrelevant.precision,0.7385614898094737
learned,attention_780_v3,100,detection.irrelevant.recall,0.7802689831599681
learned,attention_780_v3,100,detection.irrelevant.f1,0.7437883222728591
learned,attention_780_v3,100,detection.macro_avg.precision,0.43157633356790626
learned,attention_780_v3,100,detection.macro_avg.recall,0.43556763074917654
learned,attention_780_v3,100,detection.macro_avg.f1,0.4186684264991408
learned,attention_780_v3,100,agenda_completeness,0.37083333333333335
learned,attention_780_v3,100,hardware.avg_latency_ms,245.47856184755716
learned,attention_780_v3,100,hardware.total_relevant,25.55
learned,attention_780_v3,100,hardware.final_buffer_size,4.4
learned,attention_780_v3,100,hardware.final_buffer_tokens,86.15
learned,attention_780_v3,128,n_conversations,20.0
learned,attention_780_v3,128,elapsed_sec,230.8
learned,attention_780_v3,128,rouge.rouge1,0.6656756522398735
learned,attention_780_v3,128,rouge.rouge2,0.47406392560144955
learned,attention_780_v3,128,rouge.rougeL,0.6424463388123122
learned,attention_780_v3,128,bertscore,0.8645587623119354
learned,attention_780_v3,128,detection.agenda_item.precision,0.575
learned,attention_780_v3,128,detection.agenda_item.recall,0.5875
learned,attention_780_v3,128,detection.agenda_item.f1,0.5739285714285715
learned,attention_780_v3,128,detection.detail.precision,0.706125608567559
learned,attention_780_v3,128,detection.detail.recall,0.7848258387676547
learned,attention_780_v3,128,detection.detail.f1,0.7308103838673258
learned,attention_780_v3,128,detection.medication.precision,0.38333333333333336
learned,attention_780_v3,128,detection.medication.recall,0.36666666666666664
learned,attention_780_v3,128,detection.medication.f1,0.35333333333333333
learned,attention_780_v3,128,detection.social_history.precision,0.11666666666666667
learned,attention_780_v3,128,detection.social_history.recall,0.04666666666666667
learned,attention_780_v3,128,detection.social_history.f1,0.05409090909090909
learned,attention_780_v3,128,detection.follow_up.precision,0.15
learned,attention_780_v3,128,detection.follow_up.recall,0.09166666666666666
learned,attention_780_v3,128,detection.follow_up.f1,0.10833333333333332
learned,attention_780_v3,128,detection.question.precision,0.7374598195921725
learned,attention_780_v3,128,detection.question.recall,0.8450104062604062
learned,attention_780_v3,128,detection.question.f1,0.7600851212770717
learned,attention_780_v3,128,detection.question_unanswered.precision,0.0
learned,attention_780_v3,128,detection.question_unanswered.recall,0.0
learned,attention_780_v3,128,detection.question_unanswered.f1,0.0
learned,attention_780_v3,128,detection.irrelevant.precision,0.7448548114059335
learned,attention_780_v3,128,detection.irrelevant.recall,0.7710108946468766
learned,attention_780_v3,128,detection.irrelevant.f1,0.7397725640130199
learned,attention_780_v3,128,detection.macro_avg.precision,0.42668002994570814
learned,attention_780_v3,128,detection.macro_avg.recall,0.43666839245936717
learned,attention_780_v3,128,detection.macro_avg.f1,0.4150442770429456
learned,attention_780_v3,128,agenda_completeness,0.37916666666666665
learned,attention_780_v3,128,hardware.avg_latency_ms,226.79312351474331
learned,attention_780_v3,128,hardware.total_relevant,25.15
learned,attention_780_v3,128,hardware.final_buffer_size,5.75
learned,attention_780_v3,128,hardware.final_buffer_tokens,117.3
