strategy,model,budget,metric,value
fifo,baseline,64,n_conversations,120.0
fifo,baseline,64,elapsed_sec,2111.7
fifo,baseline,64,rouge.rouge1,0.6952543014818037
fifo,baseline,64,rouge.rouge2,0.5037289824992635
fifo,baseline,64,rouge.rougeL,0.670970387224873
fifo,baseline,64,bertscore,0.8736357589562734
fifo,baseline,64,detection.agenda_item.precision,0.2894047619047619
fifo,baseline,64,detection.agenda_item.recall,0.40944444444444444
fifo,baseline,64,detection.agenda_item.f1,0.32091871091871094
fifo,baseline,64,detection.detail.precision,0.6288271358801657
fifo,baseline,64,detection.detail.recall,0.899541237253084
fifo,baseline,64,detection.detail.f1,0.727602338510224
fifo,baseline,64,detection.medication.precision,0.23333333333333334
fifo,baseline,64,detection.medication.recall,0.1986111111111111
fifo,baseline,64,detection.medication.f1,0.20444444444444443
fifo,baseline,64,detection.social_history.precision,0.6375
fifo,baseline,64,detection.social_history.recall,0.611111111111111
fifo,baseline,64,detection.social_history.f1,0.6180555555555556
fifo,baseline,64,detection.follow_up.precision,0.008333333333333333
fifo,baseline,64,detection.follow_up.recall,0.004166666666666667
fifo,baseline,64,detection.follow_up.f1,0.005555555555555555
fifo,baseline,64,detection.question.precision,0.6869336299242943
fifo,baseline,64,detection.question.recall,0.8773412045470869
fifo,baseline,64,detection.question.f1,0.7464386833099005
fifo,baseline,64,detection.question_unanswered.precision,0.0
fifo,baseline,64,detection.question_unanswered.recall,0.0
fifo,baseline,64,detection.question_unanswered.f1,0.0
fifo,baseline,64,detection.irrelevant.precision,0.8249797595166846
fifo,baseline,64,detection.irrelevant.recall,0.6550294877814676
fifo,baseline,64,detection.irrelevant.f1,0.7180095084221809
fifo,baseline,64,detection.macro_avg.precision,0.41366399423657163
fifo,baseline,64,detection.macro_avg.recall,0.4569056578643715
fifo,baseline,64,detection.macro_avg.f1,0.41762809958957153
fifo,baseline,64,agenda_completeness,0.44869565217391305
fifo,baseline,64,system_level.linking_accuracy,0.49166666666666664
fifo,baseline,64,system_level.first_mention_accuracy,0.9270764432523652
fifo,baseline,64,system_level.resolution_accuracy,0.1058051063157863
fifo,baseline,64,hardware.avg_latency_ms,319.31769558818917
fifo,baseline,64,hardware.total_relevant,32.59166666666667
fifo,baseline,64,hardware.final_buffer_size,4.541666666666667
fifo,baseline,64,hardware.final_buffer_tokens,55.55833333333333
fifo,baseline,100,n_conversations,120.0
fifo,baseline,100,elapsed_sec,1768.4
fifo,baseline,100,rouge.rouge1,0.6958844580713776
fifo,baseline,100,rouge.rouge2,0.5076738913681821
fifo,baseline,100,rouge.rougeL,0.6715031483224588
fifo,baseline,100,bertscore,0.8733598425984382
fifo,baseline,100,detection.agenda_item.precision,0.3153174603174603
fifo,baseline,100,detection.agenda_item.recall,0.39625
fifo,baseline,100,detection.agenda_item.f1,0.3319011544011544
fifo,baseline,100,detection.detail.precision,0.645779641550774
fifo,baseline,100,detection.detail.recall,0.8730946554593826
fifo,baseline,100,detection.detail.f1,0.7295204837068107
fifo,baseline,100,detection.medication.precision,0.275
fifo,baseline,100,detection.medication.recall,0.21694444444444444
fifo,baseline,100,detection.medication.f1,0.22888888888888886
fifo,baseline,100,detection.social_history.precision,0.6375
fifo,baseline,100,detection.social_history.recall,0.611111111111111
fifo,baseline,100,detection.social_history.f1,0.6180555555555556
fifo,baseline,100,detection.follow_up.precision,0.019444444444444445
fifo,baseline,100,detection.follow_up.recall,0.008333333333333333
fifo,baseline,100,detection.follow_up.f1,0.011574074074074073
fifo,baseline,100,detection.question.precision,0.7098286739487187
fifo,baseline,100,detection.question.recall,0.8311179969268205
fifo,baseline,100,detection.question.f1,0.7402438269052677
fifo,baseline,100,detection.question_unanswered.precision,0.0
fifo,baseline,100,detection.question_unanswered.recall,0.0
fifo,baseline,100,detection.question_unanswered.f1,0.0
fifo,baseline,100,detection.irrelevant.precision,0.7981374844999375
fifo,baseline,100,detection.irrelevant.recall,0.6917670800221528
fifo,baseline,100,detection.irrelevant.f1,0.730034631572891
fifo,baseline,100,detection.macro_avg.precision,0.42512596309516687
fifo,baseline,100,detection.macro_avg.recall,0.4535773276621556
fifo,baseline,100,detection.macro_avg.f1,0.4237773268880803
fifo,baseline,100,agenda_completeness,0.4414492753623188
fifo,baseline,100,system_level.linking_accuracy,0.5739583333333333
fifo,baseline,100,system_level.first_mention_accuracy,0.9237258581760543
fifo,baseline,100,system_level.resolution_accuracy,0.10664889288498576
fifo,baseline,100,hardware.avg_latency_ms,266.1476530049284
fifo,baseline,100,hardware.total_relevant,29.983333333333334
fifo,baseline,100,hardware.final_buffer_size,7.166666666666667
fifo,baseline,100,hardware.final_buffer_tokens,91.16666666666667
fifo,baseline,128,n_conversations,120.0
fifo,baseline,128,elapsed_sec,1592.2
fifo,baseline,128,rouge.rouge1,0.6939126506350306
fifo,baseline,128,rouge.rouge2,0.5058700875221256
fifo,baseline,128,rouge.rougeL,0.6692789347831494
fifo,baseline,128,bertscore,0.8723586882154147
fifo,baseline,128,detection.agenda_item.precision,0.31118055555555557
fifo,baseline,128,detection.agenda_item.recall,0.405
fifo,baseline,128,detection.agenda_item.f1,0.3305573593073593
fifo,baseline,128,detection.detail.precision,0.6647503538031577
fifo,baseline,128,detection.detail.recall,0.8509934455502661
fifo,baseline,128,detection.detail.f1,0.7343562497838276
fifo,baseline,128,detection.medication.precision,0.2930555555555555
fifo,baseline,128,detection.medication.recall,0.24444444444444444
fifo,baseline,128,detection.medication.f1,0.2555555555555556
fifo,baseline,128,detection.social_history.precision,0.6375
fifo,baseline,128,detection.social_history.recall,0.611111111111111
fifo,baseline,128,detection.social_history.f1,0.6180555555555556
fifo,baseline,128,detection.follow_up.precision,0.0375
fifo,baseline,128,detection.follow_up.recall,0.0125
fifo,baseline,128,detection.follow_up.f1,0.018472222222222223
fifo,baseline,128,detection.question.precision,0.7179917196638408
fifo,baseline,128,detection.question.recall,0.8174324511273041
fifo,baseline,128,detection.question.f1,0.7406839259361543
fifo,baseline,128,detection.question_unanswered.precision,0.0
fifo,baseline,128,detection.question_unanswered.recall,0.0
fifo,baseline,128,detection.question_unanswered.f1,0.0
fifo,baseline,128,detection.irrelevant.precision,0.7845978770413269
fifo,baseline,128,detection.irrelevant.recall,0.7221519966522432
fifo,baseline,128,detection.irrelevant.f1,0.740724674801809
fifo,baseline,128,detection.macro_avg.precision,0.43082200770242957
fifo,baseline,128,detection.macro_avg.recall,0.4579541811106711
fifo,baseline,128,detection.macro_avg.f1,0.4298006928953104
fifo,baseline,128,agenda_completeness,0.44289855072463763
fifo,baseline,128,system_level.linking_accuracy,0.5311274509803922
fifo,baseline,128,system_level.first_mention_accuracy,0.9266956601013121
fifo,baseline,128,system_level.resolution_accuracy,0.10816530154851063
fifo,baseline,128,hardware.avg_latency_ms,238.31107025671886
fifo,baseline,128,hardware.total_relevant,28.516666666666666
fifo,baseline,128,hardware.final_buffer_size,9.058333333333334
fifo,baseline,128,hardware.final_buffer_tokens,117.825
fifo,baseline,256,n_conversations,120.0
fifo,baseline,256,elapsed_sec,1413.7
fifo,baseline,256,rouge.rouge1,0.691669231310853
fifo,baseline,256,rouge.rouge2,0.5050889517881846
fifo,baseline,256,rouge.rougeL,0.6675489303224107
fifo,baseline,256,bertscore,0.8716033975283305
fifo,baseline,256,detection.agenda_item.precision,0.2999801587301587
fifo,baseline,256,detection.agenda_item.recall,0.37027777777777776
fifo,baseline,256,detection.agenda_item.f1,0.30367364117364115
fifo,baseline,256,detection.detail.precision,0.6735463245156698
fifo,baseline,256,detection.detail.recall,0.8131289653031655
fifo,baseline,256,detection.detail.f1,0.7239410772015742
fifo,baseline,256,detection.medication.precision,0.3138888888888889
fifo,baseline,256,detection.medication.recall,0.2648611111111111
fifo,baseline,256,detection.medication.f1,0.2722222222222222
fifo,baseline,256,detection.social_history.precision,0.6375
fifo,baseline,256,detection.social_history.recall,0.611111111111111
fifo,baseline,256,detection.social_history.f1,0.6180555555555556
fifo,baseline,256,detection.follow_up.precision,0.023611111111111114
fifo,baseline,256,detection.follow_up.recall,0.018055555555555554
fifo,baseline,256,detection.follow_up.f1,0.01990740740740741
fifo,baseline,256,detection.question.precision,0.7154354414041535
fifo,baseline,256,detection.question.recall,0.7945418035123917
fifo,baseline,256,detection.question.f1,0.7292540725032836
fifo,baseline,256,detection.question_unanswered.precision,0.0
fifo,baseline,256,detection.question_unanswered.recall,0.0
fifo,baseline,256,detection.question_unanswered.f1,0.0
fifo,baseline,256,detection.irrelevant.precision,0.759486107249032
fifo,baseline,256,detection.irrelevant.recall,0.7382328417769021
fifo,baseline,256,detection.irrelevant.f1,0.7369115541939161
fifo,baseline,256,detection.macro_avg.precision,0.42793100398737677
fifo,baseline,256,detection.macro_avg.recall,0.45127614576850184
fifo,baseline,256,detection.macro_avg.f1,0.4254956912822
fifo,baseline,256,agenda_completeness,0.41507246376811596
fifo,baseline,256,system_level.linking_accuracy,0.5791666666666666
fifo,baseline,256,system_level.first_mention_accuracy,0.9313355853530162
fifo,baseline,256,system_level.resolution_accuracy,0.11143684424695048
fifo,baseline,256,hardware.avg_latency_ms,211.1404817673391
fifo,baseline,256,hardware.total_relevant,26.666666666666668
fifo,baseline,256,hardware.final_buffer_size,17.483333333333334
fifo,baseline,256,hardware.final_buffer_tokens,248.26666666666668
sliding,baseline,64,n_conversations,120.0
sliding,baseline,64,elapsed_sec,212.6
sliding,baseline,64,rouge.rouge1,0.6952543014818037
sliding,baseline,64,rouge.rouge2,0.5037289824992635
sliding,baseline,64,rouge.rougeL,0.670970387224873
sliding,baseline,64,bertscore,0.8736357589562734
sliding,baseline,64,detection.agenda_item.precision,0.2894047619047619
sliding,baseline,64,detection.agenda_item.recall,0.40944444444444444
sliding,baseline,64,detection.agenda_item.f1,0.32091871091871094
sliding,baseline,64,detection.detail.precision,0.6288271358801657
sliding,baseline,64,detection.detail.recall,0.899541237253084
sliding,baseline,64,detection.detail.f1,0.727602338510224
sliding,baseline,64,detection.medication.precision,0.23333333333333334
sliding,baseline,64,detection.medication.recall,0.1986111111111111
sliding,baseline,64,detection.medication.f1,0.20444444444444443
sliding,baseline,64,detection.social_history.precision,0.6375
sliding,baseline,64,detection.social_history.recall,0.611111111111111
sliding,baseline,64,detection.social_history.f1,0.6180555555555556
sliding,baseline,64,detection.follow_up.precision,0.008333333333333333
sliding,baseline,64,detection.follow_up.recall,0.004166666666666667
sliding,baseline,64,detection.follow_up.f1,0.005555555555555555
sliding,baseline,64,detection.question.precision,0.6869336299242943
sliding,baseline,64,detection.question.recall,0.8773412045470869
sliding,baseline,64,detection.question.f1,0.7464386833099005
sliding,baseline,64,detection.question_unanswered.precision,0.0
sliding,baseline,64,detection.question_unanswered.recall,0.0
sliding,baseline,64,detection.question_unanswered.f1,0.0
sliding,baseline,64,detection.irrelevant.precision,0.8249797595166846
sliding,baseline,64,detection.irrelevant.recall,0.6550294877814676
sliding,baseline,64,detection.irrelevant.f1,0.7180095084221809
sliding,baseline,64,detection.macro_avg.precision,0.41366399423657163
sliding,baseline,64,detection.macro_avg.recall,0.4569056578643715
sliding,baseline,64,detection.macro_avg.f1,0.41762809958957153
sliding,baseline,64,agenda_completeness,0.44869565217391305
sliding,baseline,64,system_level.linking_accuracy,0.49166666666666664
sliding,baseline,64,system_level.first_mention_accuracy,0.9270764432523652
sliding,baseline,64,system_level.resolution_accuracy,0.1058051063157863
sliding,baseline,64,hardware.avg_latency_ms,319.31769558818917
sliding,baseline,64,hardware.total_relevant,32.59166666666667
sliding,baseline,64,hardware.final_buffer_size,4.541666666666667
sliding,baseline,64,hardware.final_buffer_tokens,55.55833333333333
sliding,baseline,100,n_conversations,120.0
sliding,baseline,100,elapsed_sec,198.5
sliding,baseline,100,rouge.rouge1,0.6961479205830934
sliding,baseline,100,rouge.rouge2,0.507945783142857
sliding,baseline,100,rouge.rougeL,0.6717512644589382
sliding,baseline,100,bertscore,0.8734541674455006
sliding,baseline,100,detection.agenda_item.precision,0.3153174603174603
sliding,baseline,100,detection.agenda_item.recall,0.39625
sliding,baseline,100,detection.agenda_item.f1,0.3319011544011544
sliding,baseline,100,detection.detail.precision,0.645779641550774
sliding,baseline,100,detection.detail.recall,0.8730946554593826
sliding,baseline,100,detection.detail.f1,0.7295204837068107
sliding,baseline,100,detection.medication.precision,0.275
sliding,baseline,100,detection.medication.recall,0.21694444444444444
sliding,baseline,100,detection.medication.f1,0.22888888888888886
sliding,baseline,100,detection.social_history.precision,0.6375
sliding,baseline,100,detection.social_history.recall,0.611111111111111
sliding,baseline,100,detection.social_history.f1,0.6180555555555556
sliding,baseline,100,detection.follow_up.precision,0.019444444444444445
sliding,baseline,100,detection.follow_up.recall,0.008333333333333333
sliding,baseline,100,detection.follow_up.f1,0.011574074074074073
