strategy,model,budget,metric,value
fifo,baseline,128,n_conversations,20.0
fifo,baseline,128,elapsed_sec,333.5
fifo,baseline,128,rouge.rouge1,0.6811906247455107
fifo,baseline,128,rouge.rouge2,0.49637501025044867
fifo,baseline,128,rouge.rougeL,0.6558903697383889
fifo,baseline,128,bertscore,0.8729390740394593
fifo,baseline,128,detection.agenda_item.precision,0.3269444444444444
fifo,baseline,128,detection.agenda_item.recall,0.3125
fifo,baseline,128,detection.agenda_item.f1,0.29865079365079367
fifo,baseline,128,detection.detail.precision,0.6394215990916509
fifo,baseline,128,detection.detail.recall,0.8948750152234807
fifo,baseline,128,detection.detail.f1,0.7312208236480213
fifo,baseline,128,detection.medication.precision,0.325
fifo,baseline,128,detection.medication.recall,0.23333333333333334
fifo,baseline,128,detection.medication.f1,0.25
fifo,baseline,128,detection.social_history.precision,0.0
fifo,baseline,128,detection.social_history.recall,0.0
fifo,baseline,128,detection.social_history.f1,0.0
fifo,baseline,128,detection.follow_up.precision,0.0
fifo,baseline,128,detection.follow_up.recall,0.0
fifo,baseline,128,detection.follow_up.f1,0.0
fifo,baseline,128,detection.question.precision,0.6697533520830734
fifo,baseline,128,detection.question.recall,0.877192945942946
fifo,baseline,128,detection.question.f1,0.7346154501035655
fifo,baseline,128,detection.question_unanswered.precision,0.0
fifo,baseline,128,detection.question_unanswered.recall,0.0
fifo,baseline,128,detection.question_unanswered.f1,0.0
fifo,baseline,128,detection.irrelevant.precision,0.783960166012807
fifo,baseline,128,detection.irrelevant.recall,0.6665321721479455
fifo,baseline,128,detection.irrelevant.f1,0.7113956218039674
fifo,baseline,128,detection.macro_avg.precision,0.343134945203997
fifo,baseline,128,detection.macro_avg.recall,0.3730541833309632
fifo,baseline,128,detection.macro_avg.f1,0.34073533615079354
fifo,baseline,128,agenda_completeness,0.375
fifo,baseline,128,hardware.avg_latency_ms,316.4887331324327
fifo,baseline,128,hardware.total_relevant,28.35
fifo,baseline,128,hardware.final_buffer_size,8.9
fifo,baseline,128,hardware.final_buffer_tokens,117.45
