strategy,model,budget,metric,value
fifo,baseline,64,n_conversations,20.0
fifo,baseline,64,elapsed_sec,346.7
fifo,baseline,64,rouge.rouge1,0.6809470612006553
fifo,baseline,64,rouge.rouge2,0.48691230641229344
fifo,baseline,64,rouge.rougeL,0.6521683037117352
fifo,baseline,64,bertscore,0.8725844889879226
fifo,baseline,64,detection.agenda_item.precision,0.3516666666666667
fifo,baseline,64,detection.agenda_item.recall,0.36666666666666664
fifo,baseline,64,detection.agenda_item.f1,0.34178571428571425
fifo,baseline,64,detection.detail.precision,0.6063690201342911
fifo,baseline,64,detection.detail.recall,0.9446362603012218
fifo,baseline,64,detection.detail.f1,0.7229824754940367
fifo,baseline,64,detection.medication.precision,0.25
fifo,baseline,64,detection.medication.recall,0.15
fifo,baseline,64,detection.medication.f1,0.18166666666666667
fifo,baseline,64,detection.social_history.precision,0.0
fifo,baseline,64,detection.social_history.recall,0.0
fifo,baseline,64,detection.social_history.f1,0.0
fifo,baseline,64,detection.follow_up.precision,0.0
fifo,baseline,64,detection.follow_up.recall,0.0
fifo,baseline,64,detection.follow_up.f1,0.0
fifo,baseline,64,detection.question.precision,0.6515730103230103
fifo,baseline,64,detection.question.recall,0.9360192585192586
fifo,baseline,64,detection.question.f1,0.7436597975440231
fifo,baseline,64,detection.question_unanswered.precision,0.0
fifo,baseline,64,detection.question_unanswered.recall,0.0
fifo,baseline,64,detection.question_unanswered.f1,0.0
fifo,baseline,64,detection.irrelevant.precision,0.8498020128862521
fifo,baseline,64,detection.irrelevant.recall,0.6128266236418123
fifo,baseline,64,detection.irrelevant.f1,0.6953259293532056
fifo,baseline,64,detection.macro_avg.precision,0.3386763387512775
fifo,baseline,64,detection.macro_avg.recall,0.37626860114111993
fifo,baseline,64,detection.macro_avg.f1,0.3356775729179558
fifo,baseline,64,agenda_completeness,0.3458333333333333
fifo,baseline,64,hardware.avg_latency_ms,332.3954292188853
fifo,baseline,64,hardware.total_relevant,32.5
fifo,baseline,64,hardware.final_buffer_size,4.45
fifo,baseline,64,hardware.final_buffer_tokens,54.0
fifo,baseline,100,n_conversations,20.0
fifo,baseline,100,elapsed_sec,275.7
fifo,baseline,100,rouge.rouge1,0.6757038782473106
